bh_bar,break_even_win_rate,control_mean,control_trades,edge,entry_distance,exit_stop,exit_target,exit_time,few_trades,max_hold_minutes,no_new_entry_after,no_reward,p,params_hash,reward,rule_mean,survives_fdr,t,trades,underpowered,volume_ratio_min,win_rate
0.05625,0.7142857142857143,-6.320565940315614e-05,1633,-3.6501444206329457e-05,-0.003,209,559,443,False,60,15:40,False,0.704330927651649,ef556bd2bd0ed9fe,0.002,-9.97071036094858e-05,False,-0.3794807079984717,1359,False,1.2,0.5437821927888153
0.07187500000000001,0.7142857142857143,-8.966273019531007e-05,1434,-1.5890756704270247e-05,-0.003,255,617,109,False,120,15:40,False,0.8899263815046602,e66db806654665eb,0.002,-0.00010555348689958064,False,-0.13839736234098926,1139,False,1.2,0.6049165935030729
0.08854166666666667,0.7142857142857143,-8.183891736956098e-05,1364,-6.5174407281733495e-06,-0.003,268,638,7,False,240,15:40,False,0.9570081575763588,010b531203662e41,0.002,-8.835635809773445e-05,False,-0.05390838316981067,1076,False,1.2,0.6245353159851301
0.04166666666666667,0.5555555555555555,-4.305498560871307e-06,1700,-2.4666445073344666e-05,-0.005,9,11,1558,False,5,15:40,False,0.5780741066962805,79eabcbae10384fc,0.004,-2.8971943634215923e-05,False,-0.5562000476013158,1578,False,1.2,0.4759188846641318
0.005208333333333334,0.5555555555555555,9.505637449994699e-06,1322,-0.00015119830217125125,-0.005,44,50,1050,False,15,15:40,False,0.04839878081838598,d94bf3d667ed3ffb,0.004,-0.00014169266472125646,False,-1.9738501821524426,1200,False,1.2,0.46
0.013541666666666667,0.5555555555555555,-4.4013465143983626e-05,947,-0.00016519767805083107,-0.005,82,81,594,False,30,15:40,False,0.15112435319683618,d8ababcf31a752a0,0.004,-0.00020921114319481457,False,-1.4355713458381,836,False,1.2,0.4569377990430622
0.0125,0.5555555555555555,-2.8180427563238342e-05,723,-0.00025519852432125963,-0.005,126,134,257,False,60,15:40,False,0.12216897793388419,921eb51626a68bd9,0.004,-0.0002833789518844982,False,-1.5457333561449473,614,False,1.2,0.46579804560260585
0.007291666666666668,0.5555555555555555,-8.989929466056685e-07,616,-0.0003398449724067787,-0.005,164,176,63,False,120,15:40,False,0.0921103179974579,8bdaaa73180dea97,0.004,-0.0003407439653533845,False,-1.6843693106035365,512,False,1.2,0.4921875
0.02291666666666667,0.5555555555555555,-0.00010415657404767024,590,-0.0002257008216917257,-0.005,170,193,3,False,240,15:40,False,0.2946577901235406,90623c9829add54c,0.004,-0.00032985739573939614,False,-1.0479583642734256,484,False,1.2,0.5041322314049587
0.009375000000000001,0.4166666666666667,-3.9222425002830324e-05,577,0.0001376814319513788,-0.008,5,0,521,False,5,15:40,False,0.10373999629716722,20275307221bc613,0.007,9.845900694854837e-05,False,1.626986352717436,526,False,1.2,0.5228136882129277
0.07604166666666667,0.4166666666666667,-7.566941377256298e-05,410,1.5868510032585018e-05,-0.008,25,6,343,False,15,15:40,False,0.9161113664796627,66a83203c36dec91,0.007,-5.980090373997797e-05,False,0.10533326708457823,397,False,1.2,0.46851385390428213
0.06354166666666666,0.4166666666666667,-0.0001079151001254195,301,6.483681034274581e-05,-0.008,42,17,196,False,30,15:40,False,0.7760723076390388,74a5784c063ee217,0.007,-4.307828978267365e-05,False,0.2844411760008085,293,False,1.2,0.4539249146757679
0.07083333333333335,0.4166666666666667,-0.0001548507400875499,219,-4.974400649525597e-05,-0.008,59,27,87,False,60,15:40,False,0.8762548766735799,52a7817f3401c319,0.007,-0.00020459474658280602,False,-0.1557185475641612,219,False,1.2,0.4292237442922374
0.028125,0.4166666666666667,-6.490434611718271e-05,189,-0.00036245298013699216,-0.008,71,36,27,False,120,15:40,False,0.3522638771619694,db2c7141a2044294,0.007,-0.0004273573262541748,False,-0.9302070793927878,188,False,1.2,0.39893617021276595
0.037500000000000006,0.4166666666666667,-8.99522627122212e-05,185,-0.00028717426450845546,-0.008,76,44,1,False,240,15:40,False,0.4918742238648281,2b167ee0e34c00dc,0.007,-0.00037712652722067655,False,-0.6873309113284471,181,False,1.2,0.4143646408839779
nan,0.3125,-0.00011888891067488369,117,0.0005838355898983483,-0.012,2,1,117,True,5,15:40,False,0.00866205423842343,115753d3053aad38,0.011,0.0004649466792234646,False,2.625111712662226,120,True,1.2,0.5666666666666667
nan,0.3125,-0.0002750531466562157,98,0.0010012540727497418,-0.012,7,2,81,True,15,15:40,False,0.004389606290843806,b2d46a0ee969a6a4,0.011,0.0007262009260935266,False,2.848715870343383,99,True,1.2,0.5353535353535354
nan,0.3125,-5.4214197861897825e-05,80,0.0007920681553054286,-0.012,6,3,50,True,30,15:40,False,0.12069513018046354,918a3320e7a28397,0.011,0.0007378539574435306,False,1.5518624882938779,75,True,1.2,0.4533333333333333
nan,0.3125,2.7020272970508165e-05,67,0.0002843983040152645,-0.012,14,5,28,True,60,15:40,False,0.6793602314201448,b5938f92971b4673,0.011,0.0003114185769857727,False,0.41333630879949135,61,True,1.2,0.4426229508196721
nan,0.3125,-0.00015222310505114643,64,-6.281648114210049e-05,-0.012,21,8,10,True,120,15:40,False,0.9369784568495727,c8d7856e70b79020,0.011,-0.00021503958619324668,False,-0.07906809963962023,57,True,1.2,0.3508771929824561
nan,0.3125,-0.0002685565604344104,63,0.0001603004669182476,-0.012,24,10,0,True,240,15:40,False,0.8501808216948861,562a924d4e387994,0.011,-0.00010825609351616285,False,0.18888771572849447,57,True,1.2,0.3508771929824561
nan,1.0,-1.5866455752534606e-05,8697,-9.596727468628913e-06,-0.001,19,2402,5946,False,5,15:55,True,0.5162441015225843,beafe34062d2cd21,0.0,-2.546318322116355e-05,False,-0.6491458606652403,8730,True,1.0,0.5380297823596792
nan,1.0,-4.024032283864983e-05,6928,-5.222186142164357e-06,-0.001,104,3072,3359,False,15,15:55,True,0.8253101206859287,83e6cd516e70c980,0.0,-4.546250898081406e-05,False,-0.22072043286078974,6991,True,1.0,0.5841796595622943
nan,1.0,-5.66852688313061e-05,5410,-1.3128556313573482e-05,-0.001,194,3242,1543,False,30,15:55,True,0.6753004599714905,a5839ed0f51fdbee,0.0,-6.981382514487933e-05,False,-0.4188846169884488,5465,True,1.0,0.6331198536139067
nan,1.0,-6.811122453673468e-05,4602,-1.5929004668868024e-05,-0.001,313,3294,538,False,60,15:55,True,0.6744528176473666,b04b975db0475830,0.0,-8.404022920560242e-05,False,-0.42004467518552385,4638,True,1.0,0.6660198361362656
nan,1.0,-8.301330032392465e-05,4302,-5.13124414133916e-07,-0.001,378,3322,114,False,120,15:55,True,0.9899156906732484,8de5d28dd5cccaa2,0.0,-8.352642473805823e-05,False,-0.012639143949126765,4319,True,1.0,0.6874276452882612
nan,1.0,-8.18036753264519e-05,4222,-3.4333659574911505e-06,-0.001,393,3328,7,False,240,15:55,True,0.9339469845588623,5aa59619397852a3,0.0,-8.523704128394276e-05,False,-0.08287996535023838,4235,True,1.0,0.6887839433293979
0.018750000000000003,0.8333333333333334,-2.7844311340213528e-05,6291,2.3763514440605677e-05,-0.002,17,454,5132,False,5,15:55,False,0.2197132529612414,bbb0f0c4d66bb7e7,0.001,-4.080796899607857e-06,False,1.2272909577229199,5908,False,1.0,0.5130331753554502
0.06041666666666667,0.8333333333333334,-2.9468960771771647e-05,4992,-1.1350068322684107e-05,-0.002,104,937,3051,False,15,15:55,False,0.7273356080188444,e471966a993bcaf0,0.001,-4.081902909445574e-05,False,-0.34867194586373995,4485,False,1.0,0.5259754738015607
0.03125,0.8333333333333334,-3.425708162636883e-05,3737,-4.06230504679805e-05,-0.002,177,1128,1471,False,30,15:55,False,0.38116404811425597,9cfa75cadff71b53,0.001,-7.488013209434915e-05,False,-0.8757535107991034,3199,False,1.0,0.5654892153798062
0.06145833333333334,0.8333333333333334,-7.533887281601588e-05,2955,-1.9583918123395973e-05,-0.002,284,1237,521,False,60,15:55,False,0.7516578180810622,d7d8b1493517b192,0.001,-9.492279093941178e-05,False,-0.3164541541858392,2480,False,1.0,0.6161290322580645
0.08229166666666667,0.8333333333333334,-9.510300748962524e-05,2612,5.417702848706189e-06,-0.002,347,1285,109,False,120,15:55,False,0.938030142736739,0ae9425d87687e61,0.001,-8.968530464091906e-05,False,0.07774594892604586,2181,False,1.0,0.6570380559376433
0.06875,0.8333333333333334,-7.949024331863683e-05,2550,-1.6794603586132574e-05,-0.002,352,1294,10,False,240,15:55,False,0.8156098952231786,6b9ac23790e13474,0.001,-9.628484690476932e-05,False,-0.23319511981726848,2101,False,1.0,0.6596858638743456
0.02916666666666667,0.7142857142857143,1.7746963332305775e-06,4268,-2.2300962460409503e-05,-0.003,13,106,3629,False,5,15:55,False,0.3638370048855979,e73c12093daf1c57,0.002,-2.0526266127178935e-05,False,-0.908078015222593,3980,False,1.0,0.4884422110552764
0.08645833333333335,0.7142857142857143,-4.3680987160701654e-05,3351,2.3779679435574673e-06,-0.003,82,311,2340,False,15,15:55,False,0.9555683191498692,4c082900c908094b,0.002,-4.130301921714426e-05,False,0.05571566609444704,3035,False,1.0,0.5080724876441516
0.05208333333333334,0.7142857142857143,-4.331139333405781e-05,2448,-2.5543801492562534e-05,-0.003,139,456,1191,False,30,15:55,False,0.6824827627848566,066ba6feaa867648,0.002,-6.885519482662032e-05,False,-0.4090775338245741,2120,False,1.0,0.5207547169811321
0.046875,0.7142857142857143,-3.850408311126652e-05,1911,-3.792785312831372e-05,-0.003,221,593,455,False,60,15:55,False,0.6484982496117551,08de0d3b97b0e288,0.002,-7.643193623958041e-05,False,-0.45584943934411076,1624,False,1.0,0.5511083743842364
0.09166666666666667,0.7142857142857143,-9.687908337691632e-05,1655,3.8403161301328175e-06,-0.003,267,650,107,False,120,15:55,False,0.968557613981179,3e7e0235f7a8b62d,0.002,-9.303876724678386e-05,False,0.03941739186568641,1386,False,1.0,0.5966810966810967
0.08125,0.7142857142857143,-7.784346757113764e-05,1589,-8.030537424982923e-06,-0.003,275,670,9,False,240,15:55,False,0.9374286831940275,eb1a8bb3b350b1f4,0.002,-8.587400499612077e-05,False,-0.07850207061636957,1319,False,1.0,0.6110689916603488
0.020833333333333336,0.5555555555555555,-2.894807676015759e-06,1970,-4.459299886413345e-05,-0.005,10,15,1680,False,5,15:55,False,0.2717212878707948,0c976dd93100b2d9,0.004,-4.7487806540149223e-05,False,-1.0991072501983519,1829,False,1.0,0.46965554948059046
0.004166666666666667,0.5555555555555555,-4.609389574572307e-06,1544,-0.00014091538557185513,-0.005,49,52,1120,False,15,15:55,False,0.03987869113821974,550e19e6db967ab7,0.004,-0.00014552477514642742,False,-2.0550032465311783,1402,False,1.0,0.4614835948644793
0.011458333333333334,0.5555555555555555,-4.0969257979221156e-05,1121,-0.0001604481905579767,-0.005,86,88,618,False,30,15:55,False,0.11309749700010234,fe6d51d28fd67b31,0.004,-0.0002014174485371978,False,-1.5844229751346377,989,False,1.0,0.46107178968655205
0.014583333333333335,0.5555555555555555,-6.568260634779848e-05,861,-0.00019733971161705352,-0.005,137,140,260,False,60,15:55,False,0.1664225367896727,2a6c785fb716b5ac,0.004,-0.0002630223179648517,False,-1.3837907480852492,750,False,1.0,0.4706666666666667
0.00625,0.5555555555555555,-9.369644513876738e-06,750,-0.00029944733928052066,-0.005,169,185,61,False,120,15:55,False,0.07477486762473215,be21e7b1161fdcaf,0.004,-0.0003088169837943976,False,-1.7818428176388963,639,False,1.0,0.49608763693270735
0.025,0.5555555555555555,-0.0001236102533290747,723,-0.00017996097951249374,-0.005,175,200,4,False,240,15:55,False,0.31162239566620487,fbfb19dacda64c2b,0.004,-0.00030357123284156844,False,-1.0118236171470254,611,False,1.0,0.502454991816694
0.059375000000000004,0.4166666666666667,6.49005587365505e-05,689,-2.6228537551602515e-05,-0.008,5,0,565,False,5,15:55,False,0.7233657020424946,b458d0d781a343d3,0.007,3.867202118494795e-05,False,-0.35396421437047676,621,False,1.0,0.4895330112721417
